,util_practice_desc,domaincat_desc,state_alpha,region_desc,source_desc,group_desc,asd_desc,CV (%),year,week_ending,county_code,commodity_desc,congr_district_code,reference_period_desc,state_fips_code,country_code,domain_desc,load_time,begin_code,Value,state_name,county_name,freq_desc,unit_desc,asd_code,class_desc,country_name,state_ansi,end_code,agg_level_desc,watershed_desc,county_ansi,short_desc,statisticcat_desc,sector_desc,prodn_practice_desc,watershed_code,location_desc,zip_5
0,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2005,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,100",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
1,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2004,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,700",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
2,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2003,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,400",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
3,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2002,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,300",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
4,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2001,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,500",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
5,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2000,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,100",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
6,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1999,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,500",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
7,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1998,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,300",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
8,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1997,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,200",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
9,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1995,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,500",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
10,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1994,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,700",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
11,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1993,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,800",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
12,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1992,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,100",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
13,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1991,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,500",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
14,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1990,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,300",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
15,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1989,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,800",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
16,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1988,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,700",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
