,month,year,location,mean_high_temp,mean_low_temp,mean_avg_temp,mean_precipitation,mean_dew_point,mean_high_dew_point,mean_low_dew_point,mean_avg_dew_point,mean_max_wind_speed,mean_month_visibility,mean_sea_pressure,median_high_temp,median_low_temp,median_avg_temp,median_precipitation,median_dew_point,median_high_dew_point,median_low_dew_point,median_avg_dew_point,median_max_wind_speed,median_month_visibility,median_sea_pressure,mode_high_temp,mode_low_temp,mode_avg_temp,mode_precipitation,mode_dew_point,mode_high_dew_point,mode_low_dew_point,mode_avg_dew_point,mode_max_wind_speed,mode_month_visibility,mode_sea_pressure,std_high_temp,std_low_temp,std_avg_temp,std_precipitation,std_dew_point,std_high_dew_point,std_low_dew_point,std_avg_dew_point,std_max_wind_speed,std_month_visibility,std_sea_pressure,min_high_temp,min_low_temp,min_avg_temp,min_precipitation,min_dew_point,min_high_dew_point,min_low_dew_point,min_avg_dew_point,min_max_wind_speed,min_month_visibility,min_sea_pressure,max_high_temp,max_low_temp,max_avg_temp,max_precipitation,max_dew_point,max_high_dew_point,max_low_dew_point,max_avg_dew_point,max_max_wind_speed,max_month_visibility,max_sea_pressure
0,1,1990,colorado,61.94,25.94,48.06,0.0,25.54,34.55,8.45,25.54,19.74,29.52,28.29,65.0,32.0,51.58,0.0,24.67,30.0,5.0,24.67,20.0,30.0,28.29,56,0,55.25,0.0,24.67,30,0,24.67,17,30,28.15,8.29,16.76,6.79,0.0,9.54,13.15,9.5,9.54,5.6,2.69,0.14,47,0,33.65,0.0,6.67,16,0,6.67,7,15,28.06,76,54,58.54,0.0,48.21,60,33,48.21,31,30,28.68
1,2,1990,colorado,64.46,21.93,47.42,0.0,29.68,41.68,5.46,29.68,19.79,28.75,28.28,63.5,30.5,48.52,0.0,26.66,41.5,0.0,26.66,19.0,30.0,28.3,60,0,53.21,0.0,26.17,33,0,26.17,20,30,28.13,8.22,21.66,10.9,0.0,8.54,10.04,11.02,8.54,6.19,3.76,0.17,50,0,25.9,0.0,14.67,24,0,14.67,8,15,27.93,80,60,65.75,0.0,47.08,57,38,47.08,35,30,28.57
2,3,1990,colorado,66.1,17.43,49.32,0.0,36.59,49.2,6.53,36.59,20.0,26.57,28.25,69.0,0.0,52.66,0.0,34.39,50.0,0.0,34.39,20.0,30.0,28.21,75,0,19.88,0.0,50.23,40,0,50.23,17,30,28.05,13.03,22.44,12.1,0.0,10.21,10.98,14.47,10.21,6.7,6.63,0.21,34,0,19.88,0.0,19.28,33,0,19.28,8,7,27.93,81,58,69.21,0.0,54.0,65,52,54.0,40,30,28.62
3,4,1990,colorado,73.53,16.8,55.22,0.0,44.09,56.63,12.37,44.09,21.37,27.5,28.19,72.5,0.0,56.92,0.0,44.26,60.0,0.0,44.26,22.5,30.0,28.17,72,0,49.31,0.0,24.67,63,0,24.67,23,30,27.96,9.42,24.63,9.77,0.0,8.54,8.02,19.76,8.54,6.61,5.21,0.17,49,0,36.68,0.0,24.67,34,0,24.67,9,15,27.89,91,63,74.71,0.0,60.75,66,58,60.75,41,30,28.49
4,5,1990,colorado,82.61,34.29,67.42,0.0,51.19,60.97,22.84,51.19,20.23,27.9,28.07,86.0,49.0,69.48,0.0,51.96,64.0,30.0,51.96,18.0,30.0,28.08,89,0,32.92,0.0,44.71,67,0,44.71,15,30,27.99,11.74,32.4,12.79,0.0,8.71,8.18,23.67,8.71,7.48,4.61,0.14,53,0,32.92,0.0,32.14,44,0,32.14,12,15,27.83,98,75,84.71,0.0,65.71,73,61,65.71,46,30,28.33
5,6,1990,colorado,95.2,62.33,83.11,0.0,60.36,66.73,46.5,60.36,18.6,30.0,28.07,96.5,74.0,85.9,0.0,60.42,67.0,54.0,60.42,18.0,30.0,28.05,99,0,84.67,0.0,48.47,67,0,48.47,15,30,28.01,5.1,28.45,8.05,0.0,3.88,3.0,21.53,3.88,3.61,0.0,0.09,80,0,55.34,0.0,48.47,63,0,48.47,13,30,27.91,103,80,91.33,0.0,67.67,77,64,67.67,26,30,28.28
6,7,1990,colorado,88.68,39.16,74.39,0.0,57.64,66.48,29.87,57.64,16.39,28.23,28.18,90.0,67.0,78.0,0.0,58.07,67.0,46.0,58.07,16.0,30.0,28.17,98,0,52.0,0.0,43.97,65,0,43.97,15,30,28.16,7.5,36.3,11.58,0.0,5.76,3.55,27.91,5.76,3.72,4.39,0.07,71,0,52.0,0.0,43.97,55,0,43.97,8,15,28.05,98,77,87.21,0.0,66.88,72,65,66.88,28,30,28.33
7,8,1990,colorado,92.16,53.16,79.23,0.0,61.12,67.32,42.81,61.12,14.68,28.87,28.17,93.0,70.0,81.04,0.0,61.25,67.0,56.0,61.25,15.0,30.0,28.16,93,0,85.33,0.0,54.03,67,0,54.03,12,30,28.09,5.83,32.01,6.96,0.0,3.31,2.81,25.86,3.31,4.72,3.34,0.07,79,0,63.0,0.0,54.03,61,0,54.03,8,15,28.07,101,76,87.29,0.0,67.46,72,65,67.46,30,30,28.37
8,9,1990,colorado,85.93,40.2,71.56,0.0,58.55,66.33,33.7,58.55,13.53,28.17,28.19,85.5,61.5,74.09,0.0,60.28,66.0,52.0,60.28,13.0,30.0,28.17,83,0,75.67,0.0,61.46,66,0,61.46,12,30,28.17,6.35,33.68,8.82,0.0,5.52,4.03,28.48,5.52,4.07,4.04,0.09,71,0,53.27,0.0,46.33,53,0,46.33,7,15,28.09,97,75,85.0,0.0,68.04,72,66,68.04,26,30,28.46
9,10,1990,colorado,76.42,38.0,61.49,0.0,46.39,54.0,27.61,46.39,16.19,28.71,28.27,78.0,49.0,64.0,0.0,48.67,53.0,35.0,48.67,17.0,30.0,28.29,78,0,38.77,0.0,23.04,47,0,23.04,17,30,28.36,7.53,24.0,8.97,0.0,10.26,9.97,21.85,10.26,5.75,4.08,0.13,58,0,38.77,0.0,23.04,33,0,23.04,8,15,28.04,87,69,73.96,0.0,62.75,70,60,62.75,28,30,28.51
