,date,high_temp_actual,high_temp_historical_avg,high_temp_record,low_temp_actual,low_temp_historical_avg,low_temp_record,avg_temp_actual,avg_temp_historical_avg,avg_temp_record,precipitation_actual,precipitation_historical_avg,precipitation_record,dew_point_actual,dew_point_historical_avg,dew_point_record,high_dew_point_actual,high_dew_point_historical_avg,high_dew_point_record,low_dew_point_actual,low_dew_point_historical_avg,low_dew_point_record,avg_dew_point_actual,avg_dew_point_historical_avg,avg_dew_point_record,max_wind_speed_actual,max_wind_speed_historical_avg,max_wind_speed_record,visibility_actual,visibility_historical_avg,visibility_record,sea_pressure_actual,sea_pressure_historical_avg,sea_pressure_record
0,1990-1-1,56,56,82,22,33,9,41.75,44,-,0.00,0.03,-,22.21,-,-,30,-,-,17,-,-,22.21,-,-,18,-,-,30,-,-,28.49,-,-
1,1990-1-6,52,56,83,30,33,6,40,44,-,0.00,0.03,-,23.17,-,-,30,-,-,20,-,-,23.17,-,-,10,-,-,30,-,-,28.42,-,-
2,1990-1-4,49,56,79,32,33,-9,40.83,44,-,0.00,0.02,-,25.67,-,-,28,-,-,22,-,-,25.67,-,-,15,-,-,30,-,-,28.41,-,-
3,1990-1-3,66,56,86,0,33,--,54,44,-,0.00,0.04,-,36.6,-,-,53,-,-,0,-,-,36.6,-,-,26,-,-,30,-,-,28.15,-,-
4,1990-1-10,73,56,77,37,33,6,53.88,45,-,0.00,0.03,-,22.54,-,-,27,-,-,18,-,-,22.54,-,-,21,-,-,30,-,-,28.38,-,-
5,1990-1-7,61,56,78,28,33,3,42.71,44,-,0.00,0.03,-,16.88,-,-,22,-,-,11,-,-,16.88,-,-,16,-,-,30,-,-,28.29,-,-
6,1990-1-2,62,56,82,0,33,7,47.36,44,-,0.00,0.03,-,33.88,-,-,44,-,-,0,-,-,33.88,-,-,25,-,-,30,-,-,28.3,-,-
7,1990-1-9,68,56,84,42,33,6,55.17,44,-,0.00,0.03,-,23.25,-,-,30,-,-,18,-,-,23.25,-,-,17,-,-,30,-,-,28.37,-,-
8,1990-1-8,72,56,88,35,33,-3,53.13,44,-,0.00,0.03,-,15.21,-,-,19,-,-,12,-,-,15.21,-,-,20,-,-,30,-,-,28.12,-,-
9,1990-1-5,50,56,85,32,33,3,40.75,44,-,0.00,0.03,-,26.67,-,-,30,-,-,24,-,-,26.67,-,-,7,-,-,30,-,-,28.3,-,-
10,1990-1-13,56,57,78,27,33,8,42.08,45,-,0.00,0.03,-,6.67,-,-,17,-,-,0,-,-,6.67,-,-,20,-,-,30,-,-,28.53,-,-
