,date,high_temp_actual,high_temp_historical_avg,high_temp_record,low_temp_actual,low_temp_historical_avg,low_temp_record,avg_temp_actual,avg_temp_historical_avg,avg_temp_record,precipitation_actual,precipitation_historical_avg,precipitation_record,dew_point_actual,dew_point_historical_avg,dew_point_record,high_dew_point_actual,high_dew_point_historical_avg,high_dew_point_record,low_dew_point_actual,low_dew_point_historical_avg,low_dew_point_record,avg_dew_point_actual,avg_dew_point_historical_avg,avg_dew_point_record,max_wind_speed_actual,max_wind_speed_historical_avg,max_wind_speed_record,visibility_actual,visibility_historical_avg,visibility_record,sea_pressure_actual,sea_pressure_historical_avg,sea_pressure_record
0,2012-4-1,93,74,98,67,48,27,78.74,61,-,0.00,0.05,-,51.3,-,-,63,-,-,39,-,-,51.3,-,-,25,-,-,10,-,-,27.84,-,-
1,2012-4-2,85,74,93,0,48,28,70.62,61,-,0.00,0.04,-,56.77,-,-,65,-,-,0,-,-,56.77,-,-,25,-,-,10,-,-,27.79,-,-
2,2012-4-9,81,76,99,57,50,25,69.22,63,-,0.00,0.05,-,59,-,-,63,-,-,56,-,-,59,-,-,14,-,-,10,-,-,28.27,-,-
3,2011-9-30,81,82,103,62,59,40,72.65,71,-,0.00,0.07,-,30.74,-,-,45,-,-,21,-,-,30.74,-,-,18,-,-,10,-,-,28.33,-,-
4,2011-9-28,96,83,102,62,60,40,79.35,71,-,0.00,0.07,-,55.74,-,-,60,-,-,50,-,-,55.74,-,-,8,-,-,10,-,-,28.08,-,-
5,2012-4-8,75,75,98,60,50,27,64.33,63,-,0.00,0.04,-,59.43,-,-,61,-,-,56,-,-,59.43,-,-,16,-,-,10,-,-,28.42,-,-
6,2012-4-4,77,74,94,0,49,26,59.92,62,-,0.00,0.04,-,41.04,-,-,49,-,-,0,-,-,41.04,-,-,16,-,-,10,-,-,28.08,-,-
7,2012-4-6,82,75,96,52,49,29,67.65,62,-,0.00,0.05,-,54.3,-,-,58,-,-,50,-,-,54.3,-,-,20,-,-,10,-,-,28.1,-,-
8,2012-3-31,93,73,97,65,48,27,77.13,61,-,0.00,0.05,-,51.78,-,-,58,-,-,40,-,-,51.78,-,-,17,-,-,10,-,-,27.93,-,-
9,2011-9-23,86,84,99,50,62,44,68.04,73,-,0.00,0.07,-,46.83,-,-,55,-,-,39,-,-,46.83,-,-,9,-,-,10,-,-,28.31,-,-
10,2012-4-7,84,75,97,62,49,28,68.88,62,-,0.00,0.05,-,62.53,-,-,65,-,-,58,-,-,62.53,-,-,23,-,-,10,-,-,28.36,-,-
