,0
0,1991-9-10
1,1992-5-19
2,1992-7-11
3,1993-4-24
4,1994-9-5
5,1995-3-24
6,1996-5-7
7,1997-1-18
8,1998-8-14
9,1998-11-25
10,1998-12-21
11,2000-2-23
12,2000-2-25
13,2000-2-27
14,2000-2-24
15,2000-2-26
16,2000-2-28
17,2000-6-3
18,2000-6-1
19,2000-6-2
20,2000-6-5
21,2000-6-4
22,2000-6-6
23,2000-6-7
24,2000-6-8
25,2000-8-12
26,2000-8-13
27,2000-8-15
28,2000-8-14
29,2000-8-23
30,2000-8-20
31,2000-8-18
32,2000-8-17
33,2000-8-25
34,2000-8-19
35,2000-8-24
36,2000-8-21
37,2000-8-16
38,2000-8-28
39,2000-8-30
40,2000-8-29
41,2000-8-26
42,2000-9-10
43,2000-9-28
44,2000-10-7
45,2000-12-6
46,2001-7-17
47,2003-1-10
48,2003-3-1
49,2003-8-14
50,2003-9-8
51,2003-9-11
52,2003-10-8
53,2003-11-17
54,2004-4-23
55,2004-8-10
56,2004-8-30
57,2004-9-7
58,2005-2-28
59,2006-2-3
60,2006-3-12
61,2006-7-16
62,2006-8-19
63,2006-9-4
64,2006-9-19
65,2006-11-7
66,2006-11-13
67,2007-1-22
68,2007-4-29
69,2007-9-21
70,2007-9-29
71,2008-12-9
72,2009-1-23
73,2009-1-26
74,2009-5-1
75,2009-7-31
76,2009-12-11
77,2009-12-29
78,2010-9-30
79,2011-12-31
80,2012-12-1
81,2013-4-8
82,2013-6-29
83,2014-2-10
84,2014-11-29
85,2015-1-19
86,2015-10-4
87,2015-11-25
88,2016-1-7
89,2017-3-4
90,2017-5-23
91,2018-5-21
92,2018-5-18
93,2019-1-17
94,2019-2-11
95,2019-12-17
96,2020-5-10
97,2020-5-8
98,2020-9-10
99,2020-10-15
100,2020-11-8
