,date,high_temp_actual,high_temp_historical_avg,high_temp_record,low_temp_actual,low_temp_historical_avg,low_temp_record,avg_temp_actual,avg_temp_historical_avg,avg_temp_record,precipitation_actual,precipitation_historical_avg,precipitation_record,dew_point_actual,dew_point_historical_avg,dew_point_record,high_dew_point_actual,high_dew_point_historical_avg,high_dew_point_record,low_dew_point_actual,low_dew_point_historical_avg,low_dew_point_record,avg_dew_point_actual,avg_dew_point_historical_avg,avg_dew_point_record,max_wind_speed_actual,max_wind_speed_historical_avg,max_wind_speed_record,visibility_actual,visibility_historical_avg,visibility_record,sea_pressure_actual,sea_pressure_historical_avg,sea_pressure_record
0,2010-1-10,48,56,77,0,33,6,26.39,45,-,0.00,0.03,-,9.35,-,-,15,-,-,0,-,-,9.35,-,-,16,-,-,10,-,-,28.68,-,-
1,2010-1-6,57,56,83,35,33,6,43.68,44,-,0.00,0.03,-,32.32,-,-,39,-,-,0,-,-,32.32,-,-,29,-,-,10,-,-,28.29,-,-
2,2010-1-9,44,56,84,15,33,6,29.65,44,-,0.00,0.03,-,7.57,-,-,14,-,-,1,-,-,7.57,-,-,14,-,-,10,-,-,28.62,-,-
3,2010-1-5,52,56,85,23,33,3,35.78,44,-,0.00,0.03,-,25.09,-,-,31,-,-,0,-,-,25.09,-,-,16,-,-,10,-,-,28.55,-,-
4,2010-1-2,49,56,82,27,33,7,34.78,44,-,0.00,0.03,-,25.33,-,-,33,-,-,0,-,-,25.33,-,-,8,-,-,10,-,-,28.46,-,-
5,2010-1-8,29,56,88,15,33,-3,20.48,44,-,0.00,0.03,-,-0.48,-,-,4,-,-,-2,-,-,-0.48,-,-,18,-,-,10,-,-,28.78,-,-
6,2010-1-7,32,56,78,19,33,3,24.12,44,-,0.00,0.03,-,11.73,-,-,28,-,-,-1,-,-,11.73,-,-,31,-,-,10,-,-,28.69,-,-
7,2010-1-3,36,56,86,24,33,--,29.28,44,-,0.00,0.04,-,25.1,-,-,27,-,-,21,-,-,25.1,-,-,15,-,-,10,-,-,28.54,-,-
8,2010-1-1,52,56,82,26,33,9,37.57,44,-,0.00,0.03,-,26.48,-,-,31,-,-,23,-,-,26.48,-,-,13,-,-,10,-,-,28.59,-,-
9,2010-1-4,37,56,79,23,33,-9,29.06,44,-,0.00,0.02,-,22.73,-,-,26,-,-,19,-,-,22.73,-,-,12,-,-,10,-,-,28.66,-,-
