,date,high_temp_actual,high_temp_historical_avg,high_temp_record,low_temp_actual,low_temp_historical_avg,low_temp_record,avg_temp_actual,avg_temp_historical_avg,avg_temp_record,precipitation_actual,precipitation_historical_avg,precipitation_record,dew_point_actual,dew_point_historical_avg,dew_point_record,high_dew_point_actual,high_dew_point_historical_avg,high_dew_point_record,low_dew_point_actual,low_dew_point_historical_avg,low_dew_point_record,avg_dew_point_actual,avg_dew_point_historical_avg,avg_dew_point_record,max_wind_speed_actual,max_wind_speed_historical_avg,max_wind_speed_record,visibility_actual,visibility_historical_avg,visibility_record,sea_pressure_actual,sea_pressure_historical_avg,sea_pressure_record
0,2001-1-10,48,56,77,39,33,6,41.43,45,-,0.00,0.03,-,36.69,-,-,41,-,-,0,-,-,36.69,-,-,15,-,-,10,-,-,28.26,-,-
1,2001-1-9,58,56,84,32,33,6,44.78,44,-,0.00,0.03,-,24.09,-,-,29,-,-,21,-,-,24.09,-,-,22,-,-,10,-,-,28.41,-,-
2,2001-1-4,68,56,79,30,33,-9,47.52,44,-,0.00,0.02,-,27.22,-,-,31,-,-,24,-,-,27.22,-,-,10,-,-,10,-,-,28.45,-,-
3,2001-1-5,61,56,85,35,33,3,46.17,44,-,0.00,0.03,-,23.7,-,-,35,-,-,0,-,-,23.7,-,-,13,-,-,10,-,-,28.32,-,-
4,2001-1-1,30,56,82,27,33,9,27.93,44,-,0.00,0.03,-,25.43,-,-,28,-,-,21,-,-,25.43,-,-,14,-,-,10,-,-,28.57,-,-
5,2001-1-2,28,56,82,25,33,7,26.58,44,-,0.00,0.03,-,23.33,-,-,25,-,-,21,-,-,23.33,-,-,12,-,-,10,-,-,28.8,-,-
6,2001-1-8,57,56,88,25,33,-3,40.43,44,-,0.00,0.03,-,24.96,-,-,31,-,-,21,-,-,24.96,-,-,9,-,-,10,-,-,28.44,-,-
7,2001-1-3,57,56,86,24,33,--,38.61,44,-,0.00,0.04,-,21.78,-,-,33,-,-,0,-,-,21.78,-,-,15,-,-,10,-,-,28.7,-,-
8,2001-1-7,55,56,78,35,33,3,44.35,44,-,0.00,0.03,-,29.57,-,-,36,-,-,0,-,-,29.57,-,-,24,-,-,10,-,-,28.42,-,-
9,2001-1-6,71,56,83,32,33,6,50.74,44,-,0.00,0.03,-,28.35,-,-,37,-,-,0,-,-,28.35,-,-,21,-,-,10,-,-,28.19,-,-
10,2001-1-19,42,57,87,26,33,2,33.23,45,-,0.00,0.03,-,27,-,-,31,-,-,23,-,-,27,-,-,18,-,-,10,-,-,28.5,-,-
11,2001-1-15,55,57,81,33,33,-5,44.17,45,-,0.00,0.04,-,29.3,-,-,36,-,-,0,-,-,29.3,-,-,16,-,-,10,-,-,28.32,-,-
12,2001-1-12,54,56,82,29,33,-1,37.91,45,-,0.00,0.03,-,31.63,-,-,46,-,-,0,-,-,31.63,-,-,29,-,-,10,-,-,28.29,-,-
13,2001-1-16,47,57,84,39,33,3,43,45,-,0.00,0.03,-,39.86,-,-,43,-,-,34,-,-,39.86,-,-,17,-,-,10,-,-,28.21,-,-
14,2001-1-17,39,57,80,30,33,-1,32.39,45,-,0.00,0.03,-,22.61,-,-,37,-,-,0,-,-,22.61,-,-,17,-,-,10,-,-,28.34,-,-
15,2001-1-13,63,57,78,46,33,8,52.07,45,-,0.00,0.03,-,39.14,-,-,50,-,-,22,-,-,39.14,-,-,26,-,-,10,-,-,28.1,-,-
16,2001-1-14,55,57,82,32,33,-2,44.74,45,-,0.00,0.02,-,26.7,-,-,31,-,-,0,-,-,26.7,-,-,13,-,-,10,-,-,28.29,-,-
17,2001-1-18,36,57,81,30,33,-2,31.75,45,-,0.00,0.03,-,28.7,-,-,35,-,-,0,-,-,28.7,-,-,16,-,-,10,-,-,28.27,-,-
18,2001-1-20,51,57,82,23,33,10,36.83,45,-,0.00,0.04,-,23.04,-,-,33,-,-,0,-,-,23.04,-,-,20,-,-,10,-,-,28.49,-,-
19,2001-1-25,55,58,84,29,33,8,43.93,46,-,0.00,0.04,-,36.7,-,-,43,-,-,28,-,-,36.7,-,-,22,-,-,10,-,-,28.52,-,-
20,2001-1-28,36,58,82,32,34,10,34.73,46,-,0.00,0.03,-,33.58,-,-,36,-,-,0,-,-,33.58,-,-,17,-,-,10,-,-,28.18,-,-
21,2001-1-27,45,58,84,30,34,5,35.21,46,-,0.00,0.04,-,22.43,-,-,34,-,-,0,-,-,22.43,-,-,16,-,-,10,-,-,28.34,-,-
22,2001-1-29,55,58,84,33,34,8,45.13,46,-,0.00,0.04,-,26,-,-,35,-,-,0,-,-,26,-,-,30,-,-,10,-,-,28.04,-,-
23,2001-1-30,56,58,82,38,34,5,47.09,46,-,0.00,0.04,-,29.7,-,-,31,-,-,27,-,-,29.7,-,-,24,-,-,10,-,-,28.19,-,-
24,2001-1-22,57,57,85,27,33,6,42.35,45,-,0.00,0.04,-,24.91,-,-,33,-,-,0,-,-,24.91,-,-,13,-,-,10,-,-,28.55,-,-
25,2001-1-24,53,57,83,36,33,4,41.69,45,-,0.00,0.03,-,36.77,-,-,39,-,-,34,-,-,36.77,-,-,13,-,-,10,-,-,28.53,-,-
26,2001-1-21,49,57,83,32,33,4,38.5,45,-,0.00,0.04,-,28.81,-,-,31,-,-,27,-,-,28.81,-,-,25,-,-,10,-,-,28.57,-,-
27,2001-1-23,58,57,89,35,33,8,45.48,45,-,0.00,0.04,-,28.04,-,-,36,-,-,0,-,-,28.04,-,-,16,-,-,10,-,-,28.38,-,-
28,2001-1-26,64,58,86,45,34,10,53.7,46,-,0.00,0.04,-,35.17,-,-,48,-,-,0,-,-,35.17,-,-,13,-,-,10,-,-,28.27,-,-
29,2001-2-8,71,59,84,46,35,-5,63.23,47,-,0.00,0.04,-,56.57,-,-,61,-,-,46,-,-,56.57,-,-,31,-,-,10,-,-,27.98,-,-
30,2001-2-6,61,59,84,44,35,9,54.13,47,-,0.00,0.04,-,42.04,-,-,46,-,-,38,-,-,42.04,-,-,24,-,-,10,-,-,28.09,-,-
31,2001-2-7,76,59,86,41,35,-2,59.38,47,-,0.00,0.05,-,48.58,-,-,55,-,-,37,-,-,48.58,-,-,25,-,-,10,-,-,28.04,-,-
32,2001-2-1,55,58,89,32,34,1,41.91,46,-,0.00,0.04,-,26.39,-,-,30,-,-,23,-,-,26.39,-,-,9,-,-,10,-,-,28.49,-,-
33,2001-2-5,67,59,83,33,35,9,50.91,47,-,0.00,0.04,-,32.52,-,-,42,-,-,25,-,-,32.52,-,-,26,-,-,10,-,-,28.43,-,-
34,2001-2-9,46,59,87,28,35,9,36.15,47,-,0.00,0.05,-,26.23,-,-,40,-,-,0,-,-,26.23,-,-,24,-,-,10,-,-,28.52,-,-
35,2001-2-2,54,58,82,25,34,-7,38.83,46,-,0.00,0.05,-,27.87,-,-,31,-,-,23,-,-,27.87,-,-,14,-,-,10,-,-,28.6,-,-
36,2001-2-3,63,58,82,34,34,7,48.04,46,-,0.00,0.04,-,27.39,-,-,34,-,-,0,-,-,27.39,-,-,21,-,-,10,-,-,28.36,-,-
37,2001-2-4,58,59,85,34,35,6,45.57,47,-,0.00,0.04,-,20.04,-,-,34,-,-,0,-,-,20.04,-,-,14,-,-,10,-,-,28.49,-,-
38,2001-1-31,50,58,90,30,34,8,39.52,46,-,0.00,0.04,-,27.13,-,-,30,-,-,25,-,-,27.13,-,-,14,-,-,10,-,-,28.4,-,-
39,2001-2-12,55,60,87,46,36,-6,50.82,48,-,0.00,0.05,-,48.21,-,-,54,-,-,44,-,-,48.21,-,-,13,-,-,10,-,-,28.28,-,-
40,2001-2-10,43,59,87,23,36,11,30,48,-,0.00,0.05,-,22.61,-,-,29,-,-,19,-,-,22.61,-,-,12,-,-,10,-,-,28.54,-,-
41,2001-2-17,46,61,84,27,37,11,34.83,49,-,0.00,0.05,-,25.74,-,-,31,-,-,0,-,-,25.74,-,-,10,-,-,10,-,-,28.7,-,-
42,2001-2-18,54,61,85,31,37,10,42.26,49,-,0.00,0.05,-,30.91,-,-,37,-,-,0,-,-,30.91,-,-,16,-,-,10,-,-,28.58,-,-
43,2001-2-13,73,60,84,58,36,3,62.86,48,-,0.00,0.05,-,57.03,-,-,59,-,-,55,-,-,57.03,-,-,26,-,-,10,-,-,28.23,-,-
44,2001-2-15,50,60,89,33,37,--,37.1,49,-,0.00,0.05,-,35.93,-,-,49,-,-,33,-,-,35.93,-,-,17,-,-,10,-,-,28.16,-,-
45,2001-2-11,54,60,91,34,36,1,43.42,48,-,0.00,0.06,-,32.88,-,-,41,-,-,0,-,-,32.88,-,-,17,-,-,10,-,-,28.34,-,-
46,2001-2-19,65,61,88,46,38,19,54.52,49,-,0.00,0.05,-,42.52,-,-,49,-,-,34,-,-,42.52,-,-,17,-,-,10,-,-,28.25,-,-
47,2001-2-14,73,60,88,50,36,5,63.8,48,-,0.00,0.05,-,58.51,-,-,61,-,-,48,-,-,58.51,-,-,20,-,-,10,-,-,28.1,-,-
48,2001-2-16,41,61,86,34,37,-4,36.61,49,-,0.00,0.05,-,30,-,-,39,-,-,0,-,-,30,-,-,20,-,-,10,-,-,28.62,-,-
49,2001-2-28,31,64,88,26,40,10,28.66,52,-,0.00,0.05,-,27.48,-,-,30,-,-,24,-,-,27.48,-,-,23,-,-,10,-,-,28.36,-,-
50,2001-3-1,59,64,95,28,40,10,40.96,52,-,0.00,0.05,-,34.29,-,-,46,-,-,0,-,-,34.29,-,-,12,-,-,10,-,-,28.22,-,-
51,2001-2-22,47,62,93,0,38,16,38.62,50,-,0.00,0.05,-,32.11,-,-,41,-,-,0,-,-,32.11,-,-,16,-,-,10,-,-,28.38,-,-
52,2001-2-21,52,62,92,39,38,15,44.58,50,-,0.00,0.05,-,43.69,-,-,50,-,-,36,-,-,43.69,-,-,14,-,-,10,-,-,28.36,-,-
53,2001-2-20,78,62,86,49,38,16,63,50,-,0.00,0.05,-,50.7,-,-,55,-,-,47,-,-,50.7,-,-,22,-,-,10,-,-,28.21,-,-
54,2001-2-26,67,63,93,47,39,16,57.72,51,-,0.00,0.05,-,45.36,-,-,54,-,-,39,-,-,45.36,-,-,16,-,-,10,-,-,28.29,-,-
55,2001-2-25,67,63,94,43,39,9,54.04,51,-,0.00,0.06,-,30.7,-,-,41,-,-,0,-,-,30.7,-,-,14,-,-,10,-,-,28.28,-,-
56,2001-2-23,63,62,90,44,39,13,53.46,50,-,0.00,0.05,-,51.96,-,-,61,-,-,42,-,-,51.96,-,-,37,-,-,10,-,-,28.14,-,-
57,2001-2-24,64,63,91,49,39,14,59.42,51,-,0.00,0.04,-,37.08,-,-,60,-,-,18,-,-,37.08,-,-,31,-,-,10,-,-,28.08,-,-
58,2001-2-27,66,63,89,32,40,16,52.32,52,-,0.00,0.06,-,50.49,-,-,64,-,-,0,-,-,50.49,-,-,22,-,-,10,-,-,28.34,-,-
59,2001-3-9,55,66,94,44,42,19,47.21,54,-,0.00,0.06,-,42.88,-,-,46,-,-,41,-,-,42.88,-,-,12,-,-,10,-,-,28.33,-,-
60,2001-3-4,61,65,89,46,41,16,51,53,-,0.00,0.06,-,40.4,-,-,45,-,-,35,-,-,40.4,-,-,14,-,-,10,-,-,28.39,-,-
61,2001-3-2,53,64,93,47,41,10,50.4,52,-,0.00,0.06,-,45.52,-,-,47,-,-,44,-,-,45.52,-,-,8,-,-,10,-,-,28,-,-
62,2001-3-8,60,66,93,46,42,17,52.44,54,-,0.00,0.06,-,48.38,-,-,52,-,-,45,-,-,48.38,-,-,22,-,-,10,-,-,28.21,-,-
63,2001-3-5,67,65,93,37,41,16,52.39,53,-,0.00,0.06,-,38.65,-,-,43,-,-,35,-,-,38.65,-,-,8,-,-,10,-,-,28.49,-,-
64,2001-3-3,59,65,90,45,41,11,50.17,53,-,0.00,0.05,-,40.91,-,-,44,-,-,34,-,-,40.91,-,-,10,-,-,10,-,-,27.98,-,-
65,2001-3-11,70,67,92,55,43,9,59.59,55,-,0.00,0.05,-,52.28,-,-,57,-,-,45,-,-,52.28,-,-,22,-,-,10,-,-,27.92,-,-
66,2001-3-6,66,65,90,44,42,16,54.26,54,-,0.00,0.06,-,41.09,-,-,43,-,-,40,-,-,41.09,-,-,18,-,-,10,-,-,28.35,-,-
67,2001-3-7,68,66,88,45,42,17,55.96,54,-,0.00,0.06,-,44.91,-,-,50,-,-,39,-,-,44.91,-,-,14,-,-,10,-,-,28.32,-,-
68,2001-3-10,55,67,94,42,43,12,50.35,55,-,0.00,0.05,-,45.46,-,-,52,-,-,38,-,-,45.46,-,-,25,-,-,10,-,-,28.11,-,-
69,2001-3-19,50,70,93,37,45,14,43.52,57,-,0.00,0.05,-,38.3,-,-,41,-,-,34,-,-,38.3,-,-,14,-,-,10,-,-,28.42,-,-
70,2001-3-12,70,67,93,47,43,12,58.09,55,-,0.00,0.06,-,35.13,-,-,42,-,-,0,-,-,35.13,-,-,18,-,-,10,-,-,28.03,-,-
71,2001-3-13,69,68,95,44,43,20,55.87,56,-,0.00,0.06,-,44.09,-,-,47,-,-,41,-,-,44.09,-,-,15,-,-,10,-,-,28.15,-,-
72,2001-3-14,66,68,91,52,44,18,58.65,56,-,0.00,0.05,-,45.3,-,-,49,-,-,36,-,-,45.3,-,-,36,-,-,10,-,-,27.93,-,-
73,2001-3-17,53,69,95,41,44,18,46.87,57,-,0.00,0.05,-,16.39,-,-,33,-,-,0,-,-,16.39,-,-,18,-,-,10,-,-,28.31,-,-
74,2001-3-15,63,68,88,41,44,22,52.58,56,-,0.00,0.06,-,27.38,-,-,38,-,-,0,-,-,27.38,-,-,30,-,-,10,-,-,28.19,-,-
75,2001-3-21,75,70,98,47,45,25,61.09,58,-,0.00,0.05,-,41.74,-,-,45,-,-,39,-,-,41.74,-,-,18,-,-,10,-,-,28.24,-,-
76,2001-3-16,55,69,91,31,44,20,44,56,-,0.00,0.06,-,26.95,-,-,31,-,-,24,-,-,26.95,-,-,14,-,-,10,-,-,28.31,-,-
77,2001-3-20,65,70,94,33,45,15,48.5,58,-,0.00,0.06,-,31.73,-,-,43,-,-,0,-,-,31.73,-,-,10,-,-,10,-,-,28.38,-,-
78,2001-3-18,45,69,95,38,45,18,41.94,57,-,0.00,0.06,-,36.94,-,-,38,-,-,34,-,-,36.94,-,-,13,-,-,10,-,-,28.36,-,-
79,2001-3-31,64,73,97,47,48,27,54.6,61,-,0.00,0.05,-,50.32,-,-,55,-,-,46,-,-,50.32,-,-,15,-,-,10,-,-,28.18,-,-
80,2001-3-26,40,72,91,37,47,19,39.07,59,-,0.00,0.05,-,23.89,-,-,31,-,-,0,-,-,23.89,-,-,13,-,-,10,-,-,28.44,-,-
81,2001-3-24,58,71,93,40,46,26,48,59,-,0.00,0.06,-,43.47,-,-,54,-,-,33,-,-,43.47,-,-,25,-,-,10,-,-,28.46,-,-
82,2001-3-29,57,73,96,42,47,24,48.06,60,-,0.00,0.05,-,45,-,-,49,-,-,42,-,-,45,-,-,10,-,-,10,-,-,27.99,-,-
83,2001-3-30,60,73,93,45,47,22,51.61,60,-,0.00,0.06,-,48.7,-,-,54,-,-,44,-,-,48.7,-,-,15,-,-,10,-,-,28.02,-,-
84,2001-3-25,49,71,93,39,46,22,43.38,59,-,0.00,0.06,-,27.08,-,-,34,-,-,0,-,-,27.08,-,-,10,-,-,10,-,-,28.48,-,-
85,2001-3-23,77,71,87,45,46,23,60.79,58,-,0.00,0.06,-,50.17,-,-,57,-,-,43,-,-,50.17,-,-,9,-,-,10,-,-,28.13,-,-
86,2001-3-27,41,72,92,36,47,19,39,59,-,0.00,0.05,-,23.11,-,-,31,-,-,0,-,-,23.11,-,-,18,-,-,10,-,-,28.32,-,-
87,2001-3-22,76,71,92,56,46,23,63.96,58,-,0.00,0.06,-,44.96,-,-,50,-,-,38,-,-,44.96,-,-,22,-,-,10,-,-,28.08,-,-
88,2001-3-28,47,72,96,39,47,23,42.97,60,-,0.00,0.06,-,22.67,-,-,45,-,-,0,-,-,22.67,-,-,13,-,-,10,-,-,28.17,-,-
89,2001-4-1,72,74,98,44,48,27,58.36,61,-,0.00,0.05,-,53.75,-,-,62,-,-,43,-,-,53.75,-,-,31,-,-,10,-,-,28.11,-,-
90,2001-4-8,82,75,98,62,50,27,71.04,63,-,0.00,0.04,-,64.59,-,-,67,-,-,61,-,-,64.59,-,-,22,-,-,10,-,-,28.03,-,-
91,2001-4-6,75,75,96,65,49,29,68.7,62,-,0.00,0.05,-,61.93,-,-,65,-,-,43,-,-,61.93,-,-,29,-,-,10,-,-,28.01,-,-
92,2001-4-5,75,75,97,66,49,25,70.36,62,-,0.00,0.04,-,67.32,-,-,70,-,-,64,-,-,67.32,-,-,17,-,-,10,-,-,28.11,-,-
93,2001-4-2,78,74,93,62,48,28,68.26,61,-,0.00,0.04,-,62,-,-,64,-,-,60,-,-,62,-,-,25,-,-,10,-,-,27.85,-,-
94,2001-4-4,76,74,94,55,49,26,64.68,62,-,0.00,0.04,-,63.03,-,-,68,-,-,55,-,-,63.03,-,-,16,-,-,9,-,-,28.12,-,-
95,2001-4-3,78,74,97,62,48,29,67.96,61,-,0.00,0.04,-,63.63,-,-,67,-,-,60,-,-,63.63,-,-,17,-,-,10,-,-,27.99,-,-
96,2001-4-10,75,76,99,63,50,26,69.09,63,-,0.00,0.05,-,64.7,-,-,68,-,-,61,-,-,64.7,-,-,22,-,-,10,-,-,27.9,-,-
97,2001-4-9,75,76,99,60,50,25,69.48,63,-,0.00,0.05,-,64.04,-,-,68,-,-,60,-,-,64.04,-,-,18,-,-,10,-,-,28.03,-,-
98,2001-4-7,76,75,97,57,49,28,66.26,62,-,0.00,0.05,-,45.09,-,-,58,-,-,35,-,-,45.09,-,-,13,-,-,10,-,-,28.08,-,-
99,2001-4-13,75,77,98,48,51,27,62.71,64,-,0.00,0.05,-,58.25,-,-,66,-,-,48,-,-,58.25,-,-,14,-,-,10,-,-,28.24,-,-
100,2001-4-16,76,78,97,48,52,34,63,65,-,0.00,0.05,-,53.83,-,-,61,-,-,48,-,-,53.83,-,-,20,-,-,10,-,-,28.31,-,-
101,2001-4-11,72,76,94,48,51,32,60.48,63,-,0.00,0.05,-,35.41,-,-,61,-,-,0,-,-,35.41,-,-,25,-,-,10,-,-,27.99,-,-
102,2001-4-14,77,77,96,0,51,32,52.09,64,-,0.00,0.05,-,50.12,-,-,70,-,-,0,-,-,50.12,-,-,17,-,-,10,-,-,28.15,-,-
103,2001-4-15,75,77,97,59,52,28,67.1,64,-,0.00,0.05,-,58.63,-,-,65,-,-,50,-,-,58.63,-,-,22,-,-,10,-,-,28.19,-,-
104,2001-4-18,64,78,102,43,53,35,52.83,65,-,0.00,0.05,-,41.43,-,-,48,-,-,34,-,-,41.43,-,-,17,-,-,10,-,-,28.56,-,-
105,2001-4-12,66,77,98,43,51,28,54.25,64,-,0.00,0.05,-,44.88,-,-,53,-,-,36,-,-,44.88,-,-,12,-,-,10,-,-,28.12,-,-
106,2001-4-19,77,78,98,56,53,34,64.7,66,-,0.00,0.06,-,54.65,-,-,62,-,-,45,-,-,54.65,-,-,30,-,-,10,-,-,28.13,-,-
107,2001-4-17,53,78,98,41,52,30,46,65,-,0.00,0.05,-,32.42,-,-,42,-,-,0,-,-,32.42,-,-,21,-,-,10,-,-,28.62,-,-
108,2001-4-20,78,79,96,64,53,38,70.46,66,-,0.00,0.06,-,64.17,-,-,67,-,-,60,-,-,64.17,-,-,23,-,-,10,-,-,28.03,-,-
109,2001-4-30,79,81,99,57,56,34,68.35,69,-,0.00,0.08,-,54.61,-,-,58,-,-,50,-,-,54.61,-,-,21,-,-,10,-,-,28.23,-,-
110,2001-4-26,75,80,96,50,55,37,62.22,68,-,0.00,0.07,-,44.43,-,-,47,-,-,41,-,-,44.43,-,-,16,-,-,10,-,-,28.34,-,-
111,2001-4-22,80,79,97,64,54,33,70.88,66,-,0.00,0.06,-,55.32,-,-,62,-,-,38,-,-,55.32,-,-,35,-,-,10,-,-,28.02,-,-
112,2001-4-23,66,79,95,49,54,37,58.74,67,-,0.00,0.06,-,33.35,-,-,59,-,-,0,-,-,33.35,-,-,21,-,-,10,-,-,28.36,-,-
113,2001-4-25,75,80,104,42,55,38,58,67,-,0.00,0.06,-,41.39,-,-,46,-,-,35,-,-,41.39,-,-,13,-,-,10,-,-,28.44,-,-
114,2001-4-24,68,80,96,38,54,33,55.26,67,-,0.00,0.07,-,38.61,-,-,44,-,-,36,-,-,38.61,-,-,13,-,-,10,-,-,28.46,-,-
115,2001-4-21,73,79,98,66,53,35,69.74,66,-,0.00,0.06,-,64.71,-,-,66,-,-,62,-,-,64.71,-,-,26,-,-,10,-,-,28.11,-,-
116,2001-4-29,78,81,99,52,56,37,64.96,68,-,0.00,0.07,-,48.43,-,-,51,-,-,45,-,-,48.43,-,-,21,-,-,10,-,-,28.3,-,-
117,2001-4-27,75,80,96,50,55,36,62.52,68,-,0.00,0.07,-,45.52,-,-,51,-,-,42,-,-,45.52,-,-,16,-,-,10,-,-,28.31,-,-
118,2001-4-28,75,80,99,53,56,37,64.65,68,-,0.00,0.07,-,48.3,-,-,54,-,-,45,-,-,48.3,-,-,18,-,-,10,-,-,28.29,-,-
