,date,high_temp_actual,high_temp_historical_avg,high_temp_record,low_temp_actual,low_temp_historical_avg,low_temp_record,avg_temp_actual,avg_temp_historical_avg,avg_temp_record,precipitation_actual,precipitation_historical_avg,precipitation_record,dew_point_actual,dew_point_historical_avg,dew_point_record,high_dew_point_actual,high_dew_point_historical_avg,high_dew_point_record,low_dew_point_actual,low_dew_point_historical_avg,low_dew_point_record,avg_dew_point_actual,avg_dew_point_historical_avg,avg_dew_point_record,max_wind_speed_actual,max_wind_speed_historical_avg,max_wind_speed_record,visibility_actual,visibility_historical_avg,visibility_record,sea_pressure_actual,sea_pressure_historical_avg,sea_pressure_record
0,1990-1-2,53,50,75,0,32,8,34.58,41,-,0.00,0.13,-,15.38,-,-,35,-,-,0,-,-,15.38,-,-,9,-,-,20,-,-,30.14,-,-
1,1990-1-9,71,50,77,48,31,-5,56.46,41,-,0.00,0.12,-,31.5,-,-,40,-,-,0,-,-,31.5,-,-,16,-,-,15,-,-,29.87,-,-
2,1990-1-3,58,50,77,0,32,6,46.38,41,-,0.00,0.13,-,41.15,-,-,52,-,-,0,-,-,41.15,-,-,13,-,-,15,-,-,29.94,-,-
3,1990-1-4,56,50,79,0,31,8,48.12,41,-,0.00,0.13,-,39.48,-,-,55,-,-,0,-,-,39.48,-,-,17,-,-,7,-,-,29.96,-,-
4,1990-1-1,44,50,77,32,32,5,37.75,41,-,0.00,0.13,-,24,-,-,30,-,-,0,-,-,24,-,-,12,-,-,20,-,-,30.15,-,-
5,1990-1-10,69,50,77,36,31,-1,53.46,41,-,0.00,0.11,-,27.67,-,-,36,-,-,0,-,-,27.67,-,-,16,-,-,20,-,-,29.98,-,-
6,1990-1-7,47,50,75,34,31,-2,40.67,41,-,0.00,0.12,-,18.79,-,-,34,-,-,0,-,-,18.79,-,-,7,-,-,20,-,-,29.93,-,-
7,1990-1-8,61,50,81,30,31,-3,43.58,41,-,0.00,0.11,-,29.21,-,-,38,-,-,0,-,-,29.21,-,-,15,-,-,15,-,-,29.8,-,-
8,1990-1-6,50,50,78,34,31,6,42.71,41,-,0.00,0.14,-,26.29,-,-,35,-,-,0,-,-,26.29,-,-,7,-,-,20,-,-,30.01,-,-
9,1990-1-5,44,50,74,33,31,8,39.71,41,-,0.00,0.13,-,24.04,-,-,33,-,-,0,-,-,24.04,-,-,9,-,-,7,-,-,29.96,-,-
10,1990-1-11,71,50,77,48,31,-1,58.54,41,-,0.00,0.11,-,26.54,-,-,36,-,-,11,-,-,26.54,-,-,16,-,-,25,-,-,29.92,-,-
11,1990-1-16,66,50,78,0,31,7,46.41,41,-,0.00,0.11,-,43.52,-,-,57,-,-,0,-,-,43.52,-,-,8,-,-,6,-,-,29.99,-,-
12,1990-1-12,48,50,75,34,31,-8,42.71,41,-,0.00,0.11,-,7,-,-,13,-,-,1,-,-,7,-,-,16,-,-,20,-,-,30.19,-,-
13,1990-1-18,58,50,75,0,31,-4,50.24,41,-,0.00,0.11,-,47.04,-,-,56,-,-,0,-,-,47.04,-,-,12,-,-,7,-,-,30.04,-,-
14,1990-1-20,55,51,75,0,31,-2,45.12,41,-,0.00,0.11,-,39.62,-,-,46,-,-,0,-,-,39.62,-,-,12,-,-,10,-,-,29.8,-,-
15,1990-1-15,65,50,75,0,31,9,55.12,41,-,0.00,0.11,-,49.72,-,-,55,-,-,0,-,-,49.72,-,-,8,-,-,20,-,-,29.98,-,-
16,1990-1-19,48,51,75,0,31,--,33.23,41,-,0.00,0.11,-,32.13,-,-,47,-,-,0,-,-,32.13,-,-,13,-,-,4,-,-,29.98,-,-
17,1990-1-13,43,50,75,24,31,3,34.88,41,-,0.00,0.10,-,17.67,-,-,27,-,-,10,-,-,17.67,-,-,10,-,-,20,-,-,30.24,-,-
18,1990-1-14,55,50,77,0,31,7,45.08,41,-,0.00,0.11,-,31.8,-,-,47,-,-,0,-,-,31.8,-,-,9,-,-,20,-,-,30,-,-
19,1990-1-17,67,50,78,0,31,5,48.83,41,-,0.00,0.11,-,47.03,-,-,64,-,-,0,-,-,47.03,-,-,14,-,-,6,-,-,29.8,-,-
20,1990-1-22,69,51,75,36,31,2,50.04,41,-,0.00,0.10,-,27.96,-,-,38,-,-,0,-,-,27.96,-,-,13,-,-,20,-,-,29.9,-,-
21,1990-1-30,62,52,80,39,32,2,47.46,42,-,0.00,0.11,-,32.08,-,-,36,-,-,0,-,-,32.08,-,-,15,-,-,20,-,-,29.81,-,-
22,1990-1-24,65,51,81,0,31,2,53.88,41,-,0.00,0.11,-,45.72,-,-,56,-,-,0,-,-,45.72,-,-,14,-,-,15,-,-,29.6,-,-
23,1990-1-21,57,51,75,37,31,4,44.33,41,-,0.00,0.11,-,29.08,-,-,34,-,-,0,-,-,29.08,-,-,12,-,-,20,-,-,29.95,-,-
24,1990-1-27,65,51,80,49,31,5,55.67,41,-,0.00,0.11,-,41.25,-,-,52,-,-,0,-,-,41.25,-,-,14,-,-,20,-,-,29.86,-,-
25,1990-1-26,63,51,78,29,31,9,45.42,41,-,0.00,0.11,-,22.79,-,-,27,-,-,18,-,-,22.79,-,-,15,-,-,20,-,-,29.91,-,-
26,1990-1-28,50,52,78,0,31,8,34.14,41,-,0.00,0.11,-,31.64,-,-,42,-,-,0,-,-,31.64,-,-,10,-,-,7,-,-,29.99,-,-
27,1990-1-25,50,51,83,35,31,1,43.67,41,-,0.00,0.11,-,21.17,-,-,36,-,-,0,-,-,21.17,-,-,23,-,-,25,-,-,29.89,-,-
28,1990-1-23,67,51,81,48,31,6,57.67,41,-,0.00,0.11,-,37.83,-,-,42,-,-,34,-,-,37.83,-,-,17,-,-,15,-,-,29.75,-,-
29,1990-1-29,55,52,78,0,31,7,37.86,42,-,0.00,0.11,-,27.68,-,-,37,-,-,0,-,-,27.68,-,-,14,-,-,20,-,-,29.78,-,-
